claim_id,fraud_risk_score,layer1a_verdict,layer1b_verdict,final_tier,flagged_date
CLM-001247,16.5,Green,Clear,Green,2025-07-28
CLM-001248,25.9,Amber,Clear,Green,2025-11-28
CLM-001249,51.0,Amber,Clear,Amber,2024-10-15
CLM-001250,4.6,Green,Clear,Green,2024-12-06
CLM-001251,36.9,Green,Clear,Amber,2024-12-18
CLM-001252,17.5,Green,Clear,Green,2026-06-20
CLM-001253,81.2,Red,Clear,Red,2024-09-17
CLM-001254,26.4,Green,Clear,Green,2026-02-22
CLM-001255,36.6,Amber,Clear,Amber,2026-04-13
CLM-001256,8.2,Green,Clear,Green,2026-03-16
CLM-001257,31.1,Amber,Clear,Amber,2024-09-04
CLM-001258,1.0,Green,Clear,Green,2025-09-11
CLM-001259,56.4,Amber,Clear,Amber,2026-06-03
CLM-001260,34.1,Amber,Clear,Amber,2025-01-12
CLM-001261,30.0,Green,Clear,Green,2024-09-03
CLM-001262,47.1,Amber,Clear,Amber,2026-06-02
CLM-001263,19.0,Green,Clear,Green,2025-09-07
CLM-001264,28.8,Amber,Clear,Green,2024-08-14
CLM-001265,44.2,Amber,Clear,Amber,2026-01-23
CLM-001266,16.9,Green,Suspected,Green,2025-04-09
CLM-001267,91.2,Red,Clear,Red,2024-12-14
CLM-001268,36.8,Amber,Clear,Amber,2025-01-01
CLM-001269,29.8,Green,Clear,Green,2025-12-04
CLM-001270,17.6,Green,Clear,Green,2025-02-02
CLM-001271,28.2,Green,Clear,Green,2026-02-01
CLM-001272,35.0,Amber,Clear,Amber,2025-11-30
CLM-001273,13.5,Green,Clear,Green,2026-02-14
CLM-001274,45.6,Amber,Clear,Amber,2025-01-22
CLM-001275,34.0,Amber,Clear,Amber,2024-11-19
CLM-001276,28.8,Amber,Confirmed,Green,2024-08-15
CLM-001277,16.5,Green,Clear,Green,2025-10-19
CLM-001278,38.8,Amber,Clear,Amber,2026-06-20
CLM-001279,16.2,Green,Clear,Green,2026-04-27
CLM-001280,11.8,Green,Suspected,Green,2025-08-17
CLM-001281,50.3,Amber,Clear,Amber,2025-07-03
CLM-001282,1.0,Green,Clear,Green,2026-01-14
CLM-001283,32.3,Amber,Clear,Amber,2026-05-05
CLM-001284,25.4,Green,Clear,Green,2025-07-03
CLM-001285,40.2,Amber,Clear,Amber,2026-02-06
CLM-001286,55.1,Amber,Clear,Amber,2026-03-10
CLM-001287,17.3,Green,Clear,Green,2025-04-10
CLM-001288,28.4,Green,Clear,Green,2025-08-21
CLM-001289,35.8,Amber,Clear,Amber,2024-12-25
CLM-001290,34.4,Amber,Clear,Amber,2024-12-10
CLM-001291,36.4,Amber,Clear,Amber,2025-10-04
CLM-001292,66.0,Red,Clear,Amber,2026-06-20
CLM-001293,17.0,Green,Clear,Green,2026-06-20
CLM-001294,35.0,Amber,Confirmed,Amber,2026-02-15
CLM-001295,69.7,Red,Clear,Amber,2024-12-27
CLM-001296,46.2,Amber,Clear,Amber,2025-12-21
CLM-001297,45.4,Amber,Clear,Amber,2026-02-26
CLM-001298,16.5,Green,Clear,Green,2024-09-13
CLM-001299,96.0,Red,Clear,Red,2026-05-19
CLM-001300,44.8,Amber,Clear,Amber,2024-09-09
CLM-001301,59.3,Amber,Clear,Amber,2026-03-17
CLM-001302,55.9,Amber,Clear,Amber,2026-03-28
CLM-001303,24.4,Amber,Clear,Green,2026-06-20
CLM-001304,14.3,Green,Clear,Green,2025-10-06
CLM-001305,8.6,Green,Clear,Green,2024-10-06
CLM-001306,33.9,Amber,Clear,Amber,2025-03-22
CLM-001307,28.7,Amber,Clear,Green,2025-12-13
CLM-001308,33.7,Amber,Clear,Amber,2024-11-07
CLM-001309,100.0,Red,Clear,Red,2024-12-22
CLM-001310,7.9,Green,Clear,Green,2025-11-16
CLM-001311,27.6,Green,Clear,Green,2026-05-31
CLM-001312,20.2,Green,Clear,Green,2025-08-11
CLM-001313,35.0,Amber,Confirmed,Amber,2025-04-10
CLM-001314,20.4,Green,Suspected,Green,2026-06-20
CLM-001315,21.7,Green,Clear,Green,2025-03-11
CLM-001316,38.2,Amber,Confirmed,Amber,2025-07-09
CLM-001317,56.6,Amber,Clear,Amber,2025-03-19
CLM-001318,14.4,Green,Clear,Green,2024-07-13
CLM-001319,28.6,Green,Clear,Green,2024-11-01
CLM-001320,1.0,Green,Clear,Green,2025-04-19
CLM-001321,14.5,Green,Clear,Green,2026-04-23
CLM-001322,14.5,Green,Clear,Green,2025-09-13
CLM-001323,42.2,Amber,Clear,Amber,2024-12-17
CLM-001324,11.9,Green,Clear,Green,2025-06-25
CLM-001325,33.8,Amber,Clear,Amber,2026-03-11
CLM-001326,38.9,Amber,Suspected,Amber,2025-05-04
CLM-001327,40.1,Amber,Clear,Amber,2025-02-01
CLM-001328,40.6,Amber,Clear,Amber,2025-01-19
CLM-001329,67.6,Amber,Clear,Amber,2025-10-21
CLM-001330,42.8,Amber,Clear,Amber,2026-01-14
CLM-001331,29.4,Green,Clear,Green,2025-12-13
CLM-001332,41.1,Amber,Clear,Amber,2025-09-04
CLM-001333,7.9,Green,Clear,Green,2025-01-18
CLM-001334,20.9,Green,Clear,Green,2025-10-25
CLM-001335,12.3,Green,Clear,Green,2026-01-30
CLM-001336,26.2,Amber,Suspected,Green,2026-04-13
CLM-001337,57.7,Amber,Clear,Amber,2024-12-21
CLM-001338,40.5,Amber,Suspected,Amber,2024-09-06
CLM-001339,35.0,Amber,Suspected,Amber,2025-12-19
CLM-001340,10.9,Green,Clear,Green,2025-04-04
CLM-001341,23.1,Green,Clear,Green,2024-11-02
CLM-001342,31.6,Amber,Clear,Amber,2025-03-04
CLM-001343,88.7,Red,Clear,Red,2025-01-13
CLM-001344,62.1,Amber,Clear,Amber,2025-05-11
CLM-001345,62.0,Amber,Clear,Amber,2026-04-08
CLM-001346,4.0,Green,Clear,Green,2024-10-15
CLM-001347,1.8,Green,Clear,Green,2025-06-09
CLM-001348,59.9,Amber,Clear,Amber,2025-01-01
CLM-001349,40.2,Amber,Clear,Amber,2025-08-09
CLM-001350,16.2,Green,Clear,Green,2024-09-29
CLM-001351,30.8,Green,Clear,Amber,2025-12-03
CLM-001352,14.0,Green,Clear,Green,2026-03-15
CLM-001353,2.3,Green,Suspected,Green,2024-09-18
CLM-001354,27.1,Amber,Clear,Green,2024-11-08
CLM-001355,33.1,Green,Clear,Amber,2026-03-07
CLM-001356,86.9,Red,Clear,Red,2025-12-06
CLM-001357,31.7,Amber,Clear,Amber,2025-01-13
CLM-001358,22.9,Green,Clear,Green,2024-07-02
CLM-001359,13.4,Green,Clear,Green,2024-09-21
CLM-001360,24.0,Green,Clear,Green,2024-11-21
CLM-001361,43.7,Amber,Clear,Amber,2025-02-23
CLM-001362,46.1,Amber,Clear,Amber,2025-08-28
CLM-001363,1.0,Green,Clear,Green,2025-02-14
CLM-001364,11.8,Green,Clear,Green,2025-09-30
CLM-001365,70.0,Amber,Clear,Amber,2025-10-02
CLM-001366,37.9,Amber,Clear,Amber,2024-12-19
CLM-001367,7.9,Green,Clear,Green,2025-02-20
CLM-001368,11.4,Green,Clear,Green,2024-12-02
CLM-001369,18.4,Green,Clear,Green,2025-12-31
CLM-001370,14.1,Green,Clear,Green,2026-03-20
CLM-001371,31.6,Green,Clear,Amber,2025-10-15
CLM-001372,25.4,Green,Clear,Green,2026-03-05
CLM-001373,30.2,Green,Clear,Amber,2025-09-04
CLM-001374,25.1,Green,Clear,Green,2025-11-11
CLM-001375,26.4,Green,Clear,Green,2024-08-04
CLM-001376,83.5,Red,Clear,Red,2025-09-20
CLM-001377,11.4,Green,Clear,Green,2025-04-15
CLM-001378,17.3,Green,Clear,Green,2025-04-10
CLM-001379,12.3,Green,Clear,Green,2024-08-11
CLM-001380,21.0,Green,Clear,Green,2025-09-19
CLM-001381,31.3,Amber,Clear,Amber,2026-04-17
CLM-001382,24.0,Green,Clear,Green,2024-06-22
CLM-001383,32.8,Amber,Suspected,Amber,2024-11-07
CLM-001384,21.3,Green,Suspected,Green,2025-06-27
CLM-001385,21.4,Green,Clear,Green,2026-06-12
CLM-001386,31.2,Amber,Clear,Amber,2026-02-07
CLM-001387,48.3,Amber,Clear,Amber,2025-03-28
CLM-001388,33.1,Amber,Clear,Amber,2025-10-13
CLM-001389,10.1,Green,Clear,Green,2025-08-08
CLM-001390,29.7,Green,Clear,Green,2025-02-08
CLM-001391,29.4,Amber,Clear,Green,2025-08-05
CLM-001392,27.3,Green,Clear,Green,2024-11-07
CLM-001393,31.0,Amber,Clear,Amber,2025-12-26
CLM-001394,99.9,Red,Clear,Red,2025-01-16
CLM-001395,89.6,Red,Clear,Red,2025-06-12
CLM-001396,22.1,Green,Clear,Green,2025-11-29
CLM-001397,28.7,Green,Clear,Green,2025-09-06
CLM-001398,49.5,Amber,Clear,Amber,2025-08-04
CLM-001399,49.4,Amber,Clear,Amber,2026-06-04
CLM-001400,18.5,Green,Clear,Green,2025-12-31
CLM-001401,23.3,Green,Clear,Green,2025-10-02
CLM-001402,12.4,Green,Clear,Green,2024-11-26
CLM-001403,30.7,Green,Clear,Amber,2025-01-02
CLM-001404,40.5,Amber,Clear,Amber,2026-03-20
CLM-001405,37.7,Amber,Clear,Amber,2025-09-01
CLM-001406,55.2,Amber,Suspected,Amber,2025-05-07
CLM-001407,16.5,Green,Suspected,Green,2025-05-18
CLM-001408,23.1,Green,Clear,Green,2025-08-21
CLM-001409,18.1,Green,Clear,Green,2024-09-07
CLM-001410,37.7,Amber,Clear,Amber,2026-02-21
CLM-001411,37.8,Amber,Confirmed,Amber,2026-05-09
CLM-001412,9.7,Green,Clear,Green,2025-07-29
CLM-001413,81.6,Red,Suspected,Red,2025-05-27
CLM-001414,71.8,Red,Clear,Red,2025-02-02
CLM-001415,24.2,Green,Clear,Green,2026-06-12
CLM-001416,20.2,Green,Suspected,Green,2025-03-14
CLM-001417,39.1,Amber,Clear,Amber,2025-03-14
CLM-001418,1.0,Green,Clear,Green,2026-03-26
CLM-001419,48.1,Amber,Clear,Amber,2025-01-30
CLM-001420,25.0,Amber,Clear,Green,2025-12-29
CLM-001421,7.8,Green,Clear,Green,2025-08-28
CLM-001422,19.3,Green,Suspected,Green,2026-05-28
CLM-001423,33.6,Amber,Clear,Amber,2025-11-15
CLM-001424,1.0,Green,Clear,Green,2024-09-28
CLM-001425,36.5,Amber,Clear,Amber,2024-12-04
CLM-001426,35.2,Amber,Clear,Amber,2025-10-26
CLM-001427,42.3,Amber,Clear,Amber,2024-07-19
CLM-001428,13.1,Green,Clear,Green,2025-11-10
CLM-001429,24.0,Green,Clear,Green,2024-09-13
CLM-001430,48.6,Amber,Clear,Amber,2025-07-12
CLM-001431,37.5,Amber,Clear,Amber,2025-10-29
CLM-001432,30.8,Amber,Clear,Amber,2024-09-19
CLM-001433,5.6,Green,Clear,Green,2026-04-30
CLM-001434,22.3,Amber,Clear,Green,2025-06-10
CLM-001435,44.4,Amber,Clear,Amber,2025-05-14
CLM-001436,24.5,Green,Clear,Green,2025-10-12
CLM-001437,16.5,Green,Clear,Green,2024-07-15
CLM-001438,32.0,Amber,Clear,Amber,2026-04-21
CLM-001439,23.6,Green,Clear,Green,2025-11-01
CLM-001440,19.8,Green,Clear,Green,2026-02-13
CLM-001441,32.1,Amber,Clear,Amber,2026-06-20
CLM-001442,21.6,Green,Clear,Green,2025-07-04
CLM-001443,96.1,Red,Clear,Red,2025-03-02
CLM-001444,28.1,Green,Clear,Green,2025-05-29
CLM-001445,36.5,Amber,Clear,Amber,2026-06-20
CLM-001446,5.0,Green,Suspected,Green,2026-04-01
CLM-001447,27.5,Green,Clear,Green,2026-01-28
CLM-001448,47.4,Amber,Clear,Amber,2026-02-01
CLM-001449,20.1,Green,Clear,Green,2025-04-09
CLM-001450,12.4,Green,Clear,Green,2025-06-17
CLM-001451,1.0,Green,Confirmed,Green,2025-02-25
CLM-001452,26.4,Green,Clear,Green,2024-10-12
CLM-001453,12.3,Green,Clear,Green,2026-01-13
CLM-001454,19.1,Green,Clear,Green,2025-05-15
CLM-001455,24.9,Green,Clear,Green,2025-08-18
CLM-001456,9.9,Green,Suspected,Green,2026-04-23
CLM-001457,25.0,Amber,Clear,Green,2025-12-17
CLM-001458,44.4,Amber,Clear,Amber,2025-03-28
CLM-001459,40.7,Amber,Clear,Amber,2024-07-09
CLM-001460,20.6,Green,Clear,Green,2024-07-13
CLM-001461,19.5,Green,Clear,Green,2025-11-05
CLM-001462,27.9,Green,Clear,Green,2024-10-12
CLM-001463,50.2,Amber,Suspected,Amber,2025-10-09
CLM-001464,3.9,Green,Clear,Green,2025-04-22
CLM-001465,33.5,Amber,Clear,Amber,2024-11-03
CLM-001466,19.4,Green,Clear,Green,2024-10-31
CLM-001467,36.9,Amber,Confirmed,Amber,2024-11-21
CLM-001468,29.7,Amber,Clear,Green,2025-05-25
CLM-001469,26.5,Green,Clear,Green,2024-12-17
CLM-001470,43.4,Amber,Clear,Amber,2026-04-14
CLM-001471,41.6,Amber,Clear,Amber,2024-07-18
CLM-001472,89.3,Red,Clear,Red,2025-12-24
CLM-001473,27.8,Green,Suspected,Green,2026-02-13
CLM-001474,43.0,Amber,Clear,Amber,2026-03-05
CLM-001475,33.6,Amber,Clear,Amber,2026-04-14
CLM-001476,16.2,Green,Clear,Green,2024-07-28
CLM-001477,5.8,Green,Clear,Green,2024-09-03
CLM-001478,35.4,Amber,Clear,Amber,2025-01-13
CLM-001479,36.5,Amber,Clear,Amber,2026-04-21
CLM-001480,31.6,Amber,Clear,Amber,2025-12-02
CLM-001481,59.6,Amber,Clear,Amber,2025-01-07
CLM-001482,6.1,Green,Suspected,Green,2026-05-23
CLM-001483,30.7,Green,Clear,Amber,2024-08-03
CLM-001484,17.8,Green,Clear,Green,2025-03-26
CLM-001485,60.7,Amber,Clear,Amber,2024-08-01
CLM-001486,34.4,Green,Clear,Amber,2025-11-02
CLM-001487,29.3,Amber,Clear,Green,2025-07-03
CLM-001488,67.8,Red,Clear,Amber,2025-09-18
CLM-001489,48.2,Amber,Clear,Amber,2025-06-18
CLM-001490,1.0,Green,Clear,Green,2024-10-22
CLM-001491,17.8,Green,Clear,Green,2025-09-11
CLM-001492,31.6,Green,Clear,Amber,2024-07-19
CLM-001493,59.7,Amber,Clear,Amber,2025-07-22
CLM-001494,44.0,Amber,Clear,Amber,2025-04-17
CLM-001495,22.7,Green,Clear,Green,2026-04-03
CLM-001496,39.4,Amber,Suspected,Amber,2025-01-30
CLM-001497,23.2,Green,Clear,Green,2024-07-12
CLM-001498,24.1,Green,Clear,Green,2024-08-10
CLM-001499,29.4,Green,Clear,Green,2025-02-21
CLM-001500,32.4,Amber,Clear,Amber,2024-11-10
CLM-001501,15.3,Green,Clear,Green,2026-04-08
CLM-001502,83.6,Red,Suspected,Red,2024-10-19
CLM-001503,12.9,Green,Clear,Green,2026-04-07
CLM-001504,36.2,Amber,Clear,Amber,2026-05-08
CLM-001505,6.2,Green,Clear,Green,2025-10-14
CLM-001506,68.6,Amber,Clear,Amber,2026-06-20
CLM-001507,21.5,Green,Clear,Green,2024-10-25
CLM-001508,48.3,Amber,Clear,Amber,2025-01-11
CLM-001509,32.8,Amber,Clear,Amber,2025-04-28
CLM-001510,53.8,Amber,Clear,Amber,2025-03-14
CLM-001511,12.7,Green,Clear,Green,2025-10-25
CLM-001512,3.1,Green,Suspected,Green,2025-06-04
CLM-001513,29.7,Green,Confirmed,Green,2025-08-05
CLM-001514,37.1,Amber,Clear,Amber,2025-11-08
CLM-001515,61.4,Amber,Clear,Amber,2025-08-08
CLM-001516,18.6,Green,Clear,Green,2026-05-29
CLM-001517,1.0,Green,Clear,Green,2024-07-28
CLM-001518,21.8,Green,Clear,Green,2025-04-02
CLM-001519,28.9,Amber,Clear,Green,2025-10-31
CLM-001520,22.5,Amber,Clear,Green,2024-12-01
CLM-001521,17.8,Green,Clear,Green,2025-05-31
CLM-001522,100.0,Red,Clear,Red,2025-10-11
CLM-001523,14.8,Green,Clear,Green,2025-03-23
CLM-001524,56.7,Amber,Clear,Amber,2026-05-11
CLM-001525,11.3,Green,Clear,Green,2025-05-16
CLM-001526,32.9,Green,Suspected,Amber,2025-06-27
CLM-001527,48.0,Amber,Confirmed,Amber,2025-04-16
CLM-001528,40.5,Amber,Clear,Amber,2025-02-13
CLM-001529,28.1,Amber,Clear,Green,2025-12-04
CLM-001530,1.0,Green,Clear,Green,2024-07-29
CLM-001531,19.6,Green,Clear,Green,2024-08-28
CLM-001532,85.7,Red,Clear,Red,2025-05-08
CLM-001533,22.7,Green,Clear,Green,2026-03-31
CLM-001534,40.3,Amber,Clear,Amber,2025-01-27
CLM-001535,31.0,Green,Clear,Amber,2025-06-07
CLM-001536,31.5,Green,Clear,Amber,2024-07-23
CLM-001537,22.0,Green,Clear,Green,2024-11-05
CLM-001538,36.9,Amber,Clear,Amber,2024-09-06
CLM-001539,27.3,Green,Clear,Green,2025-08-23
CLM-001540,33.5,Green,Clear,Amber,2025-02-10
CLM-001541,52.9,Amber,Clear,Amber,2024-11-25
CLM-001542,21.5,Green,Clear,Green,2025-05-29
CLM-001543,45.5,Amber,Clear,Amber,2025-01-16
CLM-001544,34.7,Amber,Clear,Amber,2025-07-21
CLM-001545,24.8,Green,Clear,Green,2025-03-02
CLM-001546,11.3,Green,Clear,Green,2026-06-20
CLM-001547,13.3,Green,Clear,Green,2024-11-15
CLM-001548,38.6,Amber,Clear,Amber,2025-06-27
CLM-001549,38.1,Amber,Clear,Amber,2025-10-08
CLM-001550,20.0,Green,Clear,Green,2026-06-05
CLM-001551,35.2,Amber,Clear,Amber,2025-10-15
CLM-001552,28.1,Green,Clear,Green,2025-11-03
CLM-001553,10.1,Green,Suspected,Green,2025-06-15
CLM-001554,73.0,Red,Clear,Red,2026-04-05
CLM-001555,41.5,Amber,Clear,Amber,2025-09-29
CLM-001556,26.8,Amber,Clear,Green,2026-03-15
CLM-001557,100.0,Red,Clear,Red,2025-03-17
CLM-001558,45.3,Amber,Clear,Amber,2024-08-28
CLM-001559,100.0,Red,Clear,Red,2026-05-12
CLM-001560,1.0,Green,Clear,Green,2024-07-20
CLM-001561,23.8,Green,Clear,Green,2025-12-06
CLM-001562,35.9,Amber,Clear,Amber,2026-06-01
CLM-001563,26.7,Green,Clear,Green,2025-07-13
CLM-001564,21.6,Green,Clear,Green,2025-10-19
CLM-001565,23.3,Green,Clear,Green,2025-10-09
CLM-001566,27.1,Amber,Clear,Green,2025-04-02
CLM-001567,9.5,Green,Clear,Green,2025-01-22
CLM-001568,56.4,Amber,Clear,Amber,2025-06-15
CLM-001569,31.4,Green,Clear,Amber,2026-06-06
CLM-001570,10.9,Green,Clear,Green,2025-01-09
CLM-001571,39.9,Amber,Clear,Amber,2025-11-30
CLM-001572,40.8,Amber,Clear,Amber,2024-08-24
CLM-001573,10.1,Green,Clear,Green,2024-09-18
CLM-001574,53.9,Amber,Clear,Amber,2024-11-05
CLM-001575,26.4,Green,Clear,Green,2026-01-22
CLM-001576,51.4,Amber,Clear,Amber,2024-11-26
CLM-001577,68.3,Red,Clear,Amber,2025-08-27
CLM-001578,57.3,Amber,Clear,Amber,2025-10-26
CLM-001579,30.4,Amber,Clear,Amber,2026-03-08
CLM-001580,42.4,Amber,Clear,Amber,2026-03-20
CLM-001581,41.9,Amber,Clear,Amber,2026-05-05
CLM-001582,22.7,Green,Clear,Green,2026-02-26
CLM-001583,21.8,Green,Suspected,Green,2025-12-30
CLM-001584,26.9,Green,Clear,Green,2025-07-31
CLM-001585,29.5,Green,Clear,Green,2025-12-20
CLM-001586,55.7,Amber,Clear,Amber,2025-04-18
CLM-001587,18.2,Green,Clear,Green,2026-04-03
CLM-001588,27.8,Green,Clear,Green,2024-12-08
CLM-001589,20.8,Green,Clear,Green,2025-01-05
CLM-001590,56.6,Amber,Clear,Amber,2025-01-01
CLM-001591,18.4,Green,Clear,Green,2024-08-11
CLM-001592,15.0,Green,Clear,Green,2025-05-02
CLM-001593,20.6,Green,Confirmed,Green,2024-11-01
CLM-001594,37.4,Amber,Clear,Amber,2025-03-10
CLM-001595,5.9,Green,Confirmed,Green,2025-07-06
CLM-001596,27.5,Green,Clear,Green,2024-11-04
CLM-001597,16.7,Green,Clear,Green,2026-06-14
CLM-001598,21.2,Green,Clear,Green,2025-06-23
CLM-001599,48.9,Amber,Clear,Amber,2025-04-14
CLM-001600,14.5,Green,Confirmed,Green,2025-03-07
CLM-001601,8.8,Green,Clear,Green,2026-01-08
CLM-001602,3.7,Green,Clear,Green,2025-05-21
CLM-001603,11.5,Green,Clear,Green,2024-12-29
CLM-001604,17.3,Green,Clear,Green,2024-09-29
CLM-001605,35.1,Amber,Clear,Amber,2025-06-25
CLM-001606,8.3,Green,Clear,Green,2025-10-06
CLM-001607,35.7,Amber,Clear,Amber,2024-11-20
CLM-001608,9.6,Green,Clear,Green,2026-05-15
CLM-001609,17.3,Green,Clear,Green,2025-01-22
CLM-001610,19.3,Green,Clear,Green,2025-03-23
CLM-001611,46.5,Amber,Confirmed,Amber,2026-03-24
CLM-001612,26.0,Green,Clear,Green,2026-01-10
CLM-001613,26.7,Green,Clear,Green,2025-07-16
CLM-001614,56.3,Amber,Clear,Amber,2025-03-20
CLM-001615,18.9,Green,Clear,Green,2024-07-15
CLM-001616,18.0,Green,Clear,Green,2024-07-07
CLM-001617,46.2,Amber,Clear,Amber,2024-12-21
CLM-001618,72.6,Red,Clear,Red,2024-11-28
CLM-001619,40.8,Amber,Clear,Amber,2024-07-18
CLM-001620,7.8,Green,Clear,Green,2024-11-09
CLM-001621,57.9,Amber,Clear,Amber,2025-07-22
CLM-001622,73.5,Amber,Clear,Red,2025-08-03
CLM-001623,1.0,Green,Clear,Green,2025-02-12
CLM-001624,29.6,Amber,Clear,Green,2025-06-22
CLM-001625,2.8,Green,Clear,Green,2024-08-27
CLM-001626,27.8,Amber,Clear,Green,2025-08-19
CLM-001627,24.4,Green,Clear,Green,2025-06-28
CLM-001628,67.4,Amber,Clear,Amber,2025-12-20
CLM-001629,8.8,Green,Clear,Green,2025-08-22
CLM-001630,36.9,Amber,Clear,Amber,2025-08-10
CLM-001631,27.7,Green,Clear,Green,2025-08-01
CLM-001632,1.0,Green,Clear,Green,2025-09-03
CLM-001633,16.0,Green,Clear,Green,2026-03-04
CLM-001634,52.6,Amber,Suspected,Amber,2025-08-01
CLM-001635,51.8,Amber,Clear,Amber,2026-05-19
CLM-001636,44.7,Amber,Clear,Amber,2026-02-02
CLM-001637,22.2,Green,Clear,Green,2025-12-17
CLM-001638,49.7,Amber,Clear,Amber,2025-02-21
CLM-001639,20.8,Green,Clear,Green,2025-11-21
CLM-001640,12.1,Green,Clear,Green,2026-02-26
CLM-001641,49.5,Amber,Clear,Amber,2025-02-15
CLM-001642,49.0,Amber,Clear,Amber,2025-12-11
CLM-001643,78.0,Red,Clear,Red,2025-01-03
CLM-001644,5.6,Green,Clear,Green,2025-02-01
CLM-001645,26.6,Green,Clear,Green,2025-11-01
CLM-001646,28.1,Amber,Clear,Green,2026-01-29
CLM-001647,26.8,Amber,Clear,Green,2025-07-25
CLM-001648,45.7,Amber,Clear,Amber,2025-09-23
CLM-001649,28.4,Amber,Clear,Green,2025-01-13
CLM-001650,11.3,Green,Clear,Green,2024-07-13
CLM-001651,28.0,Green,Clear,Green,2025-04-23
CLM-001652,11.1,Green,Clear,Green,2024-07-05
CLM-001653,37.4,Amber,Clear,Amber,2025-10-08
CLM-001654,83.7,Red,Clear,Red,2025-03-06
CLM-001655,45.9,Amber,Clear,Amber,2025-02-19
CLM-001656,38.9,Amber,Clear,Amber,2025-10-08
CLM-001657,35.3,Amber,Clear,Amber,2025-12-09
CLM-001658,5.8,Green,Clear,Green,2025-06-27
CLM-001659,10.4,Green,Clear,Green,2025-03-13
CLM-001660,49.5,Amber,Clear,Amber,2026-01-19
CLM-001661,36.2,Green,Clear,Amber,2025-06-20
CLM-001662,10.5,Green,Clear,Green,2024-12-25
CLM-001663,8.6,Green,Clear,Green,2025-08-22
CLM-001664,31.5,Amber,Clear,Amber,2024-07-20
CLM-001665,35.5,Amber,Suspected,Amber,2024-07-28
CLM-001666,100.0,Red,Clear,Red,2026-05-24
CLM-001667,2.9,Green,Clear,Green,2025-06-11
CLM-001668,23.8,Green,Confirmed,Green,2026-06-20
CLM-001669,91.6,Red,Clear,Red,2025-05-28
CLM-001670,66.9,Red,Clear,Amber,2024-08-03
CLM-001671,39.8,Amber,Clear,Amber,2025-06-22
CLM-001672,16.9,Green,Clear,Green,2025-12-12
CLM-001673,31.5,Green,Clear,Amber,2024-07-31
CLM-001674,40.1,Amber,Clear,Amber,2025-03-05
CLM-001675,19.4,Green,Clear,Green,2025-08-23
CLM-001676,15.9,Green,Clear,Green,2026-04-22
CLM-001677,25.9,Amber,Clear,Green,2025-04-27
CLM-001678,11.4,Green,Clear,Green,2024-09-15
CLM-001679,31.4,Green,Suspected,Amber,2025-06-02
CLM-001680,34.3,Amber,Clear,Amber,2026-03-24
CLM-001681,30.6,Amber,Clear,Amber,2025-12-10
CLM-001682,24.2,Green,Clear,Green,2026-06-05
CLM-001683,25.8,Green,Suspected,Green,2024-08-25
CLM-001684,13.0,Green,Clear,Green,2025-12-11
CLM-001685,10.0,Green,Clear,Green,2026-05-26
CLM-001686,25.3,Green,Clear,Green,2024-11-19
CLM-001687,15.9,Green,Clear,Green,2024-07-03
CLM-001688,12.3,Green,Clear,Green,2024-08-28
CLM-001689,40.3,Amber,Clear,Amber,2026-05-03
CLM-001690,32.1,Amber,Clear,Amber,2026-01-17
CLM-001691,38.3,Green,Clear,Amber,2026-02-12
CLM-001692,30.7,Amber,Suspected,Amber,2025-04-20
CLM-001693,21.3,Green,Clear,Green,2026-01-01
CLM-001694,6.3,Green,Clear,Green,2025-07-02
CLM-001695,36.1,Amber,Clear,Amber,2025-06-16
CLM-001696,12.2,Green,Clear,Green,2024-09-21
CLM-001697,33.1,Green,Clear,Amber,2026-05-18
CLM-001698,22.9,Green,Clear,Green,2026-02-07
CLM-001699,32.5,Amber,Clear,Amber,2024-07-30
CLM-001700,52.9,Amber,Clear,Amber,2025-07-22
CLM-001701,27.6,Amber,Suspected,Green,2024-09-12
CLM-001702,38.0,Amber,Suspected,Amber,2026-03-12
CLM-001703,27.5,Green,Clear,Green,2024-09-20
CLM-001704,60.9,Amber,Clear,Amber,2025-05-09
CLM-001705,50.5,Amber,Clear,Amber,2026-01-11
CLM-001706,42.7,Amber,Clear,Amber,2025-11-09
CLM-001707,6.6,Green,Clear,Green,2025-01-28
CLM-001708,42.4,Amber,Confirmed,Amber,2025-07-24
CLM-001709,3.1,Green,Suspected,Green,2026-03-23
CLM-001710,52.2,Amber,Clear,Amber,2026-05-25
CLM-001711,21.8,Green,Clear,Green,2025-05-22
CLM-001712,31.8,Green,Clear,Amber,2026-02-15
CLM-001713,52.3,Amber,Clear,Amber,2025-11-23
CLM-001714,34.6,Amber,Clear,Amber,2025-09-12
CLM-001715,5.6,Green,Clear,Green,2025-10-01
CLM-001716,13.7,Green,Clear,Green,2026-03-11
CLM-001717,36.4,Amber,Clear,Amber,2025-04-27
CLM-001718,23.6,Green,Clear,Green,2025-02-23
CLM-001719,32.7,Green,Clear,Amber,2025-06-03
CLM-001720,4.6,Green,Clear,Green,2026-02-06
CLM-001721,3.2,Green,Clear,Green,2025-06-01
CLM-001722,26.4,Green,Clear,Green,2026-03-21
CLM-001723,48.5,Amber,Clear,Amber,2024-10-28
CLM-001724,37.7,Amber,Clear,Amber,2024-07-15
CLM-001725,40.5,Amber,Clear,Amber,2024-08-26
CLM-001726,20.2,Green,Clear,Green,2025-02-17
CLM-001727,35.6,Amber,Suspected,Amber,2024-07-18
