client_id,redemption_date,partner,reward_value
CLI-000272,2024-11-18,Virgin Active,250
CLI-004904,2024-12-05,Woolworths,100
CLI-005784,2024-12-25,Virgin Active,100
CLI-004434,2025-10-26,Engen,150
CLI-003005,2025-08-18,British Airways,100
CLI-004890,2025-07-01,Engen,600
CLI-003212,2025-11-30,Woolworths,250
CLI-003684,2026-01-01,Engen,600
CLI-000211,2025-06-23,HBO Max,100
CLI-000731,2026-06-05,Engen,50
CLI-000923,2025-12-12,Woolworths,50
CLI-001374,2026-01-15,HBO Max,150
CLI-006106,2025-08-12,British Airways,400
CLI-006322,2025-06-29,Takealot,50
CLI-000173,2026-01-09,Engen,150
CLI-004785,2026-03-10,British Airways,400
CLI-005349,2026-06-08,Woolworths,250
CLI-004246,2025-12-09,Engen,400
CLI-002439,2025-04-10,HBO Max,400
CLI-000972,2025-12-03,Takealot,150
CLI-000511,2026-06-03,Virgin Active,400
CLI-006338,2025-02-03,Virgin Active,400
CLI-000577,2025-10-17,Engen,250
CLI-000505,2026-03-09,Woolworths,400
CLI-002184,2024-11-25,Engen,400
CLI-005786,2024-12-03,Woolworths,50
CLI-001858,2025-05-18,Takealot,50
CLI-002527,2026-03-02,British Airways,600
CLI-001281,2026-01-06,Takealot,150
CLI-002634,2024-08-22,Takealot,250
CLI-002583,2025-01-29,Takealot,50
CLI-002060,2025-03-07,HBO Max,100
CLI-001158,2025-05-05,Engen,50
CLI-000614,2025-09-11,Virgin Active,150
CLI-002558,2025-11-04,Woolworths,600
CLI-000994,2025-06-11,Engen,50
CLI-003029,2026-04-23,Takealot,50
CLI-001855,2026-04-14,British Airways,600
CLI-004564,2025-10-31,Takealot,100
CLI-001016,2026-05-26,HBO Max,50
CLI-000680,2026-01-06,British Airways,100
CLI-004698,2025-05-08,British Airways,400
CLI-002183,2025-04-11,Woolworths,400
CLI-001481,2025-10-16,British Airways,50
CLI-002859,2025-09-15,HBO Max,250
CLI-000477,2024-06-25,Virgin Active,600
CLI-003597,2025-10-15,Takealot,50
CLI-001788,2025-05-20,Virgin Active,100
CLI-001416,2024-09-23,Takealot,250
CLI-004728,2024-11-15,Takealot,400
CLI-003466,2025-09-28,Woolworths,600
CLI-001202,2025-08-10,British Airways,50
CLI-006302,2024-10-27,British Airways,600
CLI-001306,2026-02-28,British Airways,400
CLI-001649,2024-10-22,British Airways,400
CLI-003752,2025-06-28,Woolworths,100
CLI-000526,2026-05-25,British Airways,100
CLI-001697,2026-02-04,Takealot,50
CLI-006302,2024-09-15,Engen,100
CLI-002702,2025-04-11,Woolworths,600
CLI-002891,2024-10-23,HBO Max,250
CLI-006399,2025-06-19,Engen,150
CLI-004866,2024-11-13,Takealot,400
CLI-006034,2026-06-14,HBO Max,50
CLI-002533,2024-11-24,Virgin Active,250
CLI-003370,2025-05-21,HBO Max,150
CLI-000916,2025-11-25,British Airways,600
CLI-005954,2024-07-18,HBO Max,400
CLI-001481,2025-04-17,Engen,600
CLI-001427,2024-11-20,Woolworths,150
CLI-000220,2026-06-09,Takealot,400
CLI-004616,2024-12-03,Woolworths,100
CLI-000255,2025-12-11,Takealot,400
CLI-004441,2024-07-21,British Airways,50
CLI-000446,2025-01-03,Takealot,100
CLI-006465,2026-02-04,HBO Max,100
CLI-002160,2024-08-18,Engen,600
CLI-002302,2025-09-27,Woolworths,50
CLI-000724,2025-09-29,Virgin Active,400
CLI-004306,2024-10-22,HBO Max,400
CLI-003445,2025-01-20,Engen,100
CLI-003088,2024-11-25,Virgin Active,50
CLI-000141,2024-10-15,HBO Max,250
CLI-001707,2025-11-19,Engen,250
CLI-006285,2025-03-14,Woolworths,600
CLI-003985,2025-03-07,Takealot,150
CLI-005699,2025-03-22,Takealot,250
CLI-001754,2026-02-18,British Airways,600
CLI-004825,2025-05-30,British Airways,600
CLI-004798,2024-12-01,Engen,150
CLI-001210,2025-01-11,Woolworths,100
CLI-001335,2026-03-08,Engen,150
CLI-003105,2025-09-27,Engen,400
CLI-002776,2025-11-20,British Airways,400
CLI-005208,2026-02-10,Virgin Active,250
CLI-002515,2026-02-20,Virgin Active,250
CLI-000280,2026-01-27,Takealot,600
CLI-003725,2025-10-15,HBO Max,100
CLI-002402,2024-11-13,Engen,250
CLI-002817,2024-11-04,HBO Max,600
CLI-002179,2025-03-25,Takealot,150
CLI-001532,2026-04-18,Woolworths,600
CLI-003637,2026-01-08,Takealot,50
CLI-005668,2025-05-14,Takealot,400
CLI-001154,2025-11-20,Woolworths,400
CLI-000298,2025-02-11,HBO Max,150
CLI-001740,2025-04-28,Woolworths,600
CLI-001116,2024-10-10,Virgin Active,600
CLI-005648,2024-10-27,British Airways,600
CLI-003191,2024-11-16,British Airways,150
CLI-001640,2024-11-05,Virgin Active,100
CLI-005052,2025-02-01,Virgin Active,150
CLI-004263,2026-01-19,Woolworths,400
CLI-003945,2025-04-19,British Airways,100
CLI-000710,2024-08-09,Woolworths,600
CLI-005216,2025-10-02,Engen,400
CLI-004083,2024-11-14,Woolworths,100
CLI-003964,2025-05-01,British Airways,50
CLI-005277,2024-08-09,Engen,400
CLI-004146,2025-11-19,British Airways,400
CLI-004600,2024-08-10,British Airways,100
CLI-004835,2026-03-10,Engen,150
CLI-001406,2024-07-08,Virgin Active,600
CLI-000846,2024-12-31,HBO Max,600
CLI-005369,2025-10-01,HBO Max,600
CLI-000576,2025-05-08,Woolworths,100
CLI-002146,2026-01-31,Takealot,600
CLI-004677,2024-10-09,Woolworths,50
CLI-001924,2026-04-26,Woolworths,50
CLI-003608,2024-10-31,Woolworths,100
CLI-001242,2025-11-30,Woolworths,100
CLI-004422,2024-10-19,Engen,50
CLI-000971,2026-05-21,Woolworths,250
CLI-003355,2026-01-02,Virgin Active,150
CLI-003048,2026-02-27,Virgin Active,150
CLI-002507,2026-04-24,Takealot,100
CLI-000512,2025-10-03,Engen,250
CLI-006448,2024-12-25,Woolworths,250
CLI-003009,2024-12-24,HBO Max,50
CLI-005104,2024-08-05,Takealot,150
CLI-001234,2024-10-17,Virgin Active,100
CLI-004269,2025-06-03,Virgin Active,400
CLI-004609,2025-03-18,British Airways,50
CLI-003816,2026-03-22,Engen,150
CLI-001885,2024-08-04,HBO Max,50
CLI-004842,2025-12-04,Takealot,250
CLI-003150,2026-04-30,Virgin Active,100
CLI-000241,2024-12-10,British Airways,600
CLI-002179,2024-10-11,Woolworths,250
CLI-000378,2026-05-19,HBO Max,600
CLI-002806,2024-08-08,Engen,50
CLI-004185,2025-11-19,Takealot,150
CLI-003043,2024-09-01,British Airways,250
CLI-004783,2025-08-26,Virgin Active,250
CLI-003942,2024-12-02,HBO Max,100
CLI-000026,2024-08-03,Woolworths,250
CLI-003632,2024-06-29,British Airways,400
CLI-005260,2025-12-10,British Airways,600
CLI-006121,2025-06-27,Engen,400
CLI-001436,2024-08-12,Engen,400
CLI-002980,2026-04-08,Engen,600
CLI-001696,2025-08-29,Engen,50
CLI-001829,2026-04-10,HBO Max,50
CLI-005187,2024-08-03,HBO Max,400
CLI-002548,2025-08-15,Virgin Active,100
CLI-003349,2025-09-11,HBO Max,100
CLI-004475,2025-09-19,Takealot,600
CLI-004572,2025-04-10,Takealot,100
CLI-002587,2024-09-03,Virgin Active,600
CLI-005186,2025-01-09,Woolworths,600
CLI-004010,2026-02-03,Virgin Active,250
CLI-004217,2025-09-18,British Airways,150
CLI-000702,2026-01-30,British Airways,600
CLI-001223,2024-11-02,Virgin Active,150
CLI-004816,2025-08-25,Woolworths,400
CLI-001699,2024-08-05,Woolworths,600
CLI-001284,2024-08-19,Virgin Active,150
CLI-002644,2025-12-08,Woolworths,250
CLI-003788,2024-07-03,HBO Max,400
CLI-001647,2024-12-08,Engen,150
CLI-001801,2025-03-28,HBO Max,100
CLI-005944,2026-06-09,HBO Max,400
CLI-000742,2026-04-10,Engen,100
CLI-005988,2025-08-21,Takealot,100
CLI-000542,2025-07-31,Woolworths,150
CLI-001973,2024-08-02,Virgin Active,400
CLI-000530,2026-03-21,Virgin Active,400
CLI-004610,2025-04-18,Woolworths,150
CLI-001925,2025-09-27,Engen,100
CLI-000687,2024-10-29,Engen,150
CLI-006460,2025-08-12,HBO Max,50
CLI-001525,2025-06-28,Engen,50
CLI-005255,2024-09-26,Woolworths,50
CLI-000392,2025-08-08,Takealot,100
CLI-003994,2024-09-25,British Airways,50
CLI-000849,2025-07-29,Takealot,250
CLI-004955,2026-06-19,Woolworths,50
CLI-003516,2025-11-22,Virgin Active,100
CLI-000857,2025-08-20,British Airways,400
CLI-000182,2025-04-14,British Airways,150
CLI-003342,2024-08-09,British Airways,100
CLI-000998,2024-08-09,British Airways,600
CLI-003264,2026-05-07,British Airways,600
CLI-002603,2025-03-14,Takealot,50
CLI-000727,2025-01-14,Engen,150
CLI-002119,2024-08-09,Virgin Active,50
CLI-001372,2024-12-16,Engen,250
CLI-003353,2025-11-08,Woolworths,50
CLI-003554,2025-11-17,HBO Max,400
CLI-000762,2025-03-22,HBO Max,50
CLI-002930,2025-08-11,Engen,50
CLI-005658,2025-03-26,HBO Max,50
CLI-002865,2025-01-24,Engen,600
CLI-006177,2024-07-13,Woolworths,150
CLI-004492,2025-01-12,Woolworths,250
CLI-002910,2025-05-21,Woolworths,600
CLI-003587,2025-02-07,HBO Max,600
CLI-003539,2026-05-01,Engen,250
CLI-006255,2024-11-12,Woolworths,150
CLI-000753,2025-01-26,HBO Max,400
CLI-004464,2025-02-23,British Airways,400
CLI-003938,2026-01-26,HBO Max,100
CLI-005097,2024-07-13,Engen,100
CLI-003348,2025-11-11,British Airways,250
CLI-003904,2025-05-21,HBO Max,150
CLI-005778,2025-12-19,Takealot,50
CLI-000914,2024-10-10,Virgin Active,600
CLI-000219,2024-12-02,British Airways,600
CLI-005982,2024-08-30,HBO Max,250
CLI-004587,2024-11-05,Takealot,600
CLI-003075,2025-01-05,Takealot,50
CLI-005686,2025-10-20,HBO Max,250
CLI-002636,2025-05-26,Engen,100
CLI-003557,2025-09-22,Woolworths,600
CLI-006167,2025-07-25,Takealot,50
CLI-005192,2026-05-06,Engen,50
CLI-000924,2026-02-07,Woolworths,400
CLI-002702,2026-02-21,Woolworths,100
CLI-002892,2024-09-23,HBO Max,100
CLI-004433,2024-11-25,British Airways,150
CLI-003601,2026-01-15,Engen,100
CLI-004330,2026-04-15,Virgin Active,150
CLI-005328,2024-09-09,British Airways,600
CLI-001420,2025-07-17,British Airways,150
CLI-003599,2025-06-14,Virgin Active,100
CLI-003463,2025-10-05,Woolworths,150
CLI-004511,2025-10-15,Virgin Active,400
CLI-004330,2026-05-15,Woolworths,150
CLI-000094,2025-04-16,Woolworths,600
CLI-001144,2025-10-02,HBO Max,50
CLI-000343,2026-05-20,Engen,600
CLI-005530,2026-05-26,Virgin Active,400
CLI-001540,2024-07-18,Takealot,100
CLI-003874,2024-12-13,Woolworths,400
CLI-004143,2026-03-16,Virgin Active,400
CLI-005709,2025-03-04,Woolworths,50
CLI-002459,2024-10-03,British Airways,250
CLI-004429,2025-12-25,Woolworths,250
CLI-006077,2025-02-08,British Airways,400
CLI-005437,2025-05-08,HBO Max,250
CLI-001940,2026-04-17,HBO Max,600
CLI-001583,2025-07-05,Engen,150
CLI-004831,2025-12-15,Engen,400
CLI-000443,2024-07-09,Virgin Active,50
CLI-001255,2024-09-16,Engen,600
CLI-006300,2025-03-04,HBO Max,50
CLI-003821,2025-08-02,British Airways,50
CLI-000382,2024-11-05,Woolworths,150
CLI-004298,2026-05-10,British Airways,50
CLI-005296,2026-01-18,Takealot,250
CLI-003633,2025-03-15,Virgin Active,150
CLI-003818,2025-08-19,Woolworths,600
CLI-002579,2026-02-20,Engen,50
CLI-003624,2026-03-14,HBO Max,250
CLI-000142,2024-08-08,Virgin Active,600
CLI-000178,2025-05-25,Woolworths,250
CLI-006077,2026-02-26,Virgin Active,250
CLI-001149,2024-11-18,British Airways,50
CLI-004097,2026-01-24,Takealot,400
CLI-006025,2024-10-04,Woolworths,100
CLI-003159,2024-11-28,Virgin Active,600
CLI-004675,2024-09-01,Takealot,400
CLI-006336,2025-09-03,British Airways,250
CLI-001169,2025-03-16,Takealot,150
CLI-005099,2025-09-10,Engen,50
CLI-001687,2025-12-03,HBO Max,50
CLI-001744,2025-08-10,HBO Max,600
CLI-002832,2026-06-12,Virgin Active,600
CLI-005682,2025-03-16,Woolworths,400
CLI-006413,2024-10-30,Woolworths,100
CLI-004777,2026-05-18,Woolworths,250
CLI-004434,2025-03-21,Engen,250
CLI-005815,2025-06-02,Takealot,600
CLI-005594,2026-02-09,HBO Max,600
CLI-005204,2025-01-13,Engen,400
CLI-003518,2025-11-18,HBO Max,150
CLI-001133,2026-05-19,British Airways,250
CLI-005228,2025-11-21,Virgin Active,150
CLI-002537,2025-09-18,Takealot,150
CLI-005136,2024-11-13,Takealot,250
CLI-005138,2025-10-06,Woolworths,600
CLI-002655,2026-03-31,Engen,50
CLI-000641,2025-09-22,Takealot,250
CLI-003482,2024-10-06,Woolworths,600
CLI-003679,2025-12-28,Woolworths,100
CLI-006298,2025-10-20,Engen,250
CLI-000789,2026-01-06,Woolworths,150
CLI-004101,2026-03-29,Engen,100
CLI-005783,2025-07-14,Engen,600
CLI-003680,2026-03-28,Woolworths,100
CLI-005941,2025-11-21,Virgin Active,400
CLI-002934,2026-06-03,Engen,150
CLI-001422,2024-09-05,HBO Max,600
CLI-005919,2025-03-27,British Airways,400
CLI-003519,2025-10-09,Takealot,600
CLI-002253,2024-07-29,Engen,100
CLI-004239,2025-01-30,Engen,600
CLI-005503,2025-05-14,British Airways,100
CLI-000782,2025-02-27,Engen,150
CLI-000369,2025-06-13,Takealot,100
CLI-003444,2025-12-28,Engen,50
CLI-005024,2025-05-15,HBO Max,100
CLI-006295,2024-10-17,Engen,250
CLI-003900,2025-07-10,HBO Max,50
CLI-000565,2025-03-15,HBO Max,50
CLI-001595,2025-05-22,Engen,250
CLI-000100,2025-04-27,Virgin Active,50
CLI-004316,2025-05-26,Virgin Active,150
CLI-000723,2024-08-27,Virgin Active,100
CLI-003632,2024-11-24,British Airways,150
CLI-006061,2025-06-03,Engen,600
CLI-004330,2025-03-10,British Airways,50
CLI-002583,2025-02-14,Woolworths,100
CLI-006437,2025-12-29,HBO Max,150
CLI-003346,2025-08-18,HBO Max,400
CLI-001362,2026-04-06,Engen,100
CLI-003930,2026-02-15,Takealot,150
CLI-000428,2025-12-20,Engen,250
CLI-005078,2025-01-09,HBO Max,100
CLI-001979,2024-10-05,Woolworths,100
CLI-001693,2026-02-15,Engen,100
CLI-002337,2026-03-27,Woolworths,600
CLI-006100,2026-02-12,HBO Max,400
CLI-004223,2025-05-14,HBO Max,150
CLI-004949,2026-06-10,British Airways,100
CLI-004368,2024-08-21,Engen,100
CLI-001030,2025-12-02,Takealot,250
CLI-001345,2024-07-13,Virgin Active,50
CLI-003470,2024-11-03,HBO Max,600
CLI-004421,2025-12-16,Takealot,600
CLI-002021,2025-08-07,HBO Max,100
CLI-004687,2025-07-06,Woolworths,50
CLI-004916,2025-11-08,HBO Max,250
CLI-001316,2024-11-19,Engen,250
CLI-004805,2024-11-04,Virgin Active,100
CLI-003097,2025-02-23,Takealot,150
CLI-004960,2025-07-22,Virgin Active,50
CLI-005954,2024-07-16,Virgin Active,250
CLI-000887,2025-03-01,British Airways,150
CLI-005009,2026-03-21,British Airways,100
CLI-004613,2024-08-30,HBO Max,100
CLI-000219,2026-02-05,Virgin Active,250
CLI-004856,2026-01-19,HBO Max,100
CLI-002573,2026-03-29,Virgin Active,100
CLI-003928,2026-04-21,British Airways,600
CLI-005229,2025-02-02,British Airways,400
CLI-005654,2025-04-30,HBO Max,400
CLI-000536,2025-08-25,Engen,250
CLI-000438,2025-09-03,Takealot,50
CLI-005218,2025-09-22,HBO Max,100
CLI-000071,2025-01-16,HBO Max,400
CLI-002795,2025-04-09,Virgin Active,100
CLI-003531,2026-04-05,HBO Max,50
CLI-000170,2026-02-04,British Airways,100
CLI-001666,2025-08-13,Virgin Active,600
CLI-002921,2024-09-15,Engen,150
CLI-001107,2025-06-06,Woolworths,600
CLI-000015,2026-03-24,Virgin Active,400
CLI-004878,2026-04-16,Engen,150
CLI-005264,2024-11-08,Woolworths,400
CLI-004682,2024-10-20,HBO Max,100
CLI-002059,2025-08-22,British Airways,250
CLI-006344,2025-02-15,Engen,600
CLI-001950,2026-05-26,Takealot,100
CLI-005627,2025-01-29,British Airways,400
CLI-002145,2025-08-06,Virgin Active,150
CLI-004492,2026-05-06,British Airways,150
CLI-001836,2025-10-08,Woolworths,600
CLI-003909,2025-04-13,Woolworths,100
CLI-004812,2025-11-13,Engen,400
CLI-003170,2026-04-22,Virgin Active,600
CLI-003323,2024-09-21,British Airways,50
CLI-000142,2026-06-15,Virgin Active,50
CLI-000856,2025-02-07,HBO Max,50
CLI-002432,2026-01-01,Virgin Active,100
CLI-000895,2025-10-19,Woolworths,400
CLI-005105,2024-09-16,Engen,250
CLI-004277,2025-12-07,Virgin Active,600
CLI-004117,2024-12-22,British Airways,150
CLI-000101,2025-12-13,Takealot,400
CLI-003675,2025-06-12,Engen,250
CLI-003718,2025-02-08,Woolworths,600
CLI-005571,2024-12-27,Woolworths,250
CLI-004500,2024-10-26,Engen,100
CLI-000302,2025-02-12,Virgin Active,400
CLI-003618,2025-04-01,Takealot,400
CLI-001921,2025-03-31,Woolworths,600
CLI-002730,2025-11-20,Virgin Active,400
CLI-000661,2025-11-07,Virgin Active,400
CLI-004871,2025-10-20,Woolworths,250
CLI-001286,2024-10-16,Engen,50
CLI-000404,2025-10-08,Virgin Active,150
CLI-000472,2025-06-24,Woolworths,150
CLI-003531,2025-03-04,HBO Max,600
CLI-005354,2025-10-06,Takealot,250
CLI-004081,2025-09-01,HBO Max,150
CLI-005057,2026-03-14,Woolworths,150
CLI-005934,2025-06-19,Woolworths,50
CLI-001417,2026-04-26,Woolworths,100
CLI-004976,2024-07-11,Takealot,400
CLI-005500,2025-11-20,Engen,600
CLI-004249,2026-03-01,HBO Max,100
CLI-003371,2025-03-24,British Airways,100
CLI-000776,2024-07-05,Engen,150
CLI-000750,2024-10-15,Virgin Active,600
CLI-003599,2024-12-06,Virgin Active,600
CLI-004999,2025-06-16,British Airways,50
CLI-002766,2026-04-02,Virgin Active,400
CLI-006180,2025-11-04,Woolworths,100
CLI-003023,2024-06-27,HBO Max,100
CLI-002201,2025-12-16,Virgin Active,600
CLI-000674,2025-09-20,HBO Max,400
CLI-000301,2026-06-11,Takealot,50
CLI-000384,2025-02-06,HBO Max,150
CLI-004220,2026-05-23,Engen,600
CLI-001099,2024-06-29,HBO Max,50
CLI-004112,2024-08-30,British Airways,150
CLI-005614,2026-05-14,Takealot,400
CLI-000394,2026-01-28,Woolworths,150
CLI-003632,2025-08-17,Engen,150
CLI-003886,2024-10-26,Takealot,100
CLI-001511,2026-02-28,HBO Max,100
CLI-002392,2025-10-30,Engen,600
CLI-004217,2024-11-01,Virgin Active,600
CLI-001215,2025-08-11,Engen,600
CLI-000892,2025-03-21,Virgin Active,400
CLI-005471,2026-02-27,British Airways,600
CLI-003093,2025-11-13,Virgin Active,400
CLI-006176,2025-08-29,Engen,600
CLI-001715,2024-09-19,Takealot,600
CLI-003288,2026-01-27,Woolworths,600
CLI-003666,2025-10-17,Takealot,100
CLI-000026,2026-02-06,HBO Max,600
CLI-003500,2025-04-24,Woolworths,150
CLI-002504,2025-04-30,British Airways,150
CLI-004040,2025-10-17,Takealot,600
CLI-004617,2024-07-24,Virgin Active,250
CLI-004505,2025-06-30,Takealot,250
CLI-003514,2026-03-28,Virgin Active,600
CLI-004397,2024-11-13,Virgin Active,150
CLI-003471,2024-07-18,British Airways,50
CLI-001879,2024-11-10,Takealot,50
CLI-005119,2025-02-11,British Airways,600
CLI-003777,2025-03-05,HBO Max,250
CLI-004583,2024-10-25,HBO Max,600
CLI-003183,2024-07-02,Virgin Active,250
CLI-000284,2024-07-01,HBO Max,50
CLI-001352,2026-05-19,Virgin Active,50
CLI-003685,2024-08-24,Virgin Active,100
CLI-004501,2025-07-03,Engen,400
CLI-000983,2026-05-18,Takealot,250
CLI-005430,2025-03-27,British Airways,400
CLI-001526,2025-11-18,Engen,100
CLI-005803,2025-09-11,Virgin Active,600
CLI-000308,2024-11-14,Virgin Active,50
CLI-002015,2024-12-19,Engen,100
CLI-002530,2025-04-10,Woolworths,100
CLI-004354,2024-11-22,Takealot,50
CLI-001859,2024-11-10,Engen,150
CLI-004224,2024-11-07,Engen,600
CLI-003254,2025-12-29,British Airways,400
CLI-005270,2026-05-10,Takealot,150
CLI-004950,2024-07-06,HBO Max,150
CLI-005366,2025-08-31,British Airways,400
CLI-004531,2024-10-27,British Airways,250
CLI-005634,2026-01-08,Virgin Active,600
CLI-005152,2025-03-05,British Airways,50
CLI-002986,2026-02-27,Takealot,100
CLI-004675,2026-03-05,Virgin Active,600
CLI-005732,2025-08-13,Takealot,600
CLI-002939,2024-12-02,HBO Max,100
CLI-002252,2025-06-02,Woolworths,50
CLI-002737,2024-12-30,Woolworths,400
CLI-002616,2025-12-21,HBO Max,250
CLI-005564,2025-05-12,Virgin Active,250
CLI-004300,2024-08-23,Takealot,100
CLI-001525,2024-10-21,Engen,50
CLI-006056,2026-01-03,Takealot,50
CLI-002484,2026-02-11,HBO Max,100
CLI-004606,2026-02-04,Woolworths,600
CLI-003437,2025-09-06,Takealot,50
CLI-002082,2025-05-03,British Airways,400
CLI-001167,2026-01-13,Virgin Active,100
CLI-001006,2025-09-16,HBO Max,600
CLI-002189,2026-06-10,Takealot,400
CLI-006036,2025-01-25,Engen,100
CLI-005586,2024-08-25,Virgin Active,150
CLI-000626,2024-07-27,Virgin Active,600
CLI-002173,2025-08-06,Engen,150
CLI-001228,2024-11-25,Takealot,50
CLI-005784,2024-11-07,Woolworths,50
CLI-000208,2026-04-18,HBO Max,250
CLI-002148,2024-06-27,Woolworths,600
CLI-003557,2025-09-05,Engen,100
CLI-002947,2025-11-04,HBO Max,150
CLI-003413,2024-10-15,Virgin Active,100
CLI-003741,2025-11-23,HBO Max,100
CLI-002327,2026-03-25,HBO Max,50
CLI-005720,2024-06-29,Woolworths,150
CLI-002753,2024-12-18,British Airways,150
CLI-005882,2026-01-18,Engen,150
CLI-001509,2024-10-27,Engen,400
CLI-006095,2025-08-18,Engen,600
CLI-002623,2024-11-24,Woolworths,600
CLI-003490,2025-07-13,Takealot,100
CLI-001151,2025-07-16,Engen,400
CLI-006434,2024-09-24,Woolworths,600
CLI-004469,2024-08-25,Woolworths,600
CLI-006340,2026-05-07,Woolworths,50
CLI-006136,2025-09-26,HBO Max,50
CLI-005984,2024-09-16,British Airways,400
CLI-006208,2024-09-12,British Airways,50
CLI-004256,2026-05-01,Woolworths,600
CLI-001198,2025-05-29,Takealot,100
CLI-002427,2025-10-30,Woolworths,100
CLI-003597,2025-06-25,Virgin Active,100
CLI-003117,2026-01-18,Woolworths,150
CLI-005396,2025-04-10,Virgin Active,50
CLI-001291,2025-05-06,Engen,400
CLI-000527,2024-10-05,Takealot,50
CLI-003264,2026-02-27,Engen,400
CLI-002386,2025-01-29,Woolworths,50
CLI-003268,2026-05-26,Takealot,600
CLI-001163,2025-09-20,Virgin Active,100
CLI-002919,2024-09-02,HBO Max,50
CLI-004419,2026-03-23,HBO Max,150
CLI-003480,2025-12-09,Virgin Active,250
CLI-000916,2025-02-25,Woolworths,400
CLI-003879,2025-08-20,British Airways,600
CLI-004490,2026-05-24,Woolworths,400
CLI-000113,2025-10-09,Woolworths,250
CLI-003631,2025-04-10,Engen,100
CLI-005726,2025-01-08,Takealot,250
CLI-004494,2025-08-21,Woolworths,400
CLI-004894,2025-04-28,Takealot,600
CLI-002095,2025-12-19,British Airways,50
CLI-004251,2025-02-24,British Airways,50
CLI-000018,2026-05-21,Woolworths,50
CLI-004281,2025-06-23,Takealot,50
CLI-002439,2025-03-29,Takealot,600
CLI-001806,2026-02-27,HBO Max,150
CLI-005978,2025-01-14,Takealot,600
CLI-005579,2025-06-10,British Airways,100
CLI-004372,2025-11-13,Woolworths,250
CLI-004091,2024-08-02,HBO Max,150
CLI-001263,2026-04-19,British Airways,600
CLI-000371,2025-04-02,Engen,600
CLI-005825,2025-04-11,Takealot,400
CLI-000388,2025-04-16,Woolworths,400
CLI-004955,2025-11-06,Woolworths,600
CLI-000598,2024-09-18,HBO Max,250
CLI-001209,2024-12-27,Virgin Active,150
CLI-006347,2026-02-27,Woolworths,600
CLI-004612,2024-08-11,Engen,150
CLI-002300,2025-05-04,HBO Max,50
CLI-003275,2025-02-10,British Airways,100
CLI-002850,2025-05-03,Engen,600
CLI-000731,2024-10-18,HBO Max,100
CLI-005938,2024-07-27,Virgin Active,100
CLI-005480,2025-09-04,HBO Max,150
CLI-005320,2025-08-31,HBO Max,400
CLI-004330,2025-06-20,British Airways,600
CLI-005662,2025-01-06,British Airways,50
CLI-005954,2026-03-31,Takealot,400
CLI-002376,2024-08-04,Takealot,600
CLI-003157,2024-12-08,British Airways,250
CLI-004394,2025-01-30,Engen,50
CLI-002521,2025-12-07,Virgin Active,100
CLI-001044,2025-02-16,HBO Max,50
CLI-003500,2026-03-11,British Airways,250
CLI-005566,2026-02-11,HBO Max,150
CLI-002367,2025-10-20,Takealot,150
CLI-006176,2024-10-13,Takealot,50
CLI-005825,2026-01-28,Woolworths,600
CLI-004357,2024-12-14,British Airways,150
CLI-000059,2025-03-01,Takealot,250
CLI-002882,2025-03-18,British Airways,400
CLI-000952,2025-05-19,Woolworths,150
CLI-003181,2026-01-22,British Airways,150
CLI-000914,2025-07-15,Engen,100
CLI-004309,2024-12-16,Woolworths,400
CLI-001309,2024-09-12,Virgin Active,150
CLI-004667,2024-07-24,Takealot,50
CLI-005862,2026-04-21,HBO Max,100
CLI-004791,2024-08-23,Takealot,250
CLI-003645,2026-03-01,Virgin Active,250
CLI-002694,2025-04-04,Woolworths,50
CLI-000952,2026-05-26,HBO Max,400
CLI-003054,2025-06-27,HBO Max,100
CLI-001051,2025-01-04,Takealot,400
CLI-006224,2024-10-21,Engen,600
CLI-002824,2024-10-18,Takealot,150
CLI-000765,2025-10-20,Engen,600
CLI-005334,2025-09-08,HBO Max,600
CLI-001074,2026-04-07,Engen,250
CLI-002262,2024-11-17,Woolworths,150
CLI-001824,2025-11-30,Takealot,250
CLI-004697,2025-03-13,British Airways,150
CLI-003985,2024-07-13,British Airways,600
CLI-003620,2025-12-27,Takealot,600
CLI-003056,2025-11-19,Takealot,150
CLI-003758,2026-05-14,British Airways,100
CLI-002454,2026-03-15,Virgin Active,600
CLI-002435,2025-08-01,Takealot,250
CLI-001262,2025-08-23,British Airways,250
CLI-000033,2025-08-07,HBO Max,150
CLI-002970,2024-06-22,Virgin Active,600
CLI-000954,2024-10-02,Engen,600
CLI-002632,2024-06-26,Engen,250
CLI-004794,2024-12-26,Engen,400
CLI-004894,2024-06-21,British Airways,100
CLI-001589,2024-12-31,Virgin Active,400
CLI-004058,2026-02-13,Takealot,150
CLI-003043,2025-08-26,HBO Max,100
CLI-001583,2025-09-09,Virgin Active,400
CLI-001449,2025-10-31,British Airways,600
CLI-003649,2025-03-31,HBO Max,150
CLI-000916,2025-05-26,HBO Max,400
CLI-004046,2026-03-16,Woolworths,250
CLI-001390,2025-09-26,Virgin Active,600
CLI-004779,2025-05-23,British Airways,100
CLI-004916,2024-11-08,HBO Max,150
CLI-003404,2025-01-20,British Airways,250
CLI-004903,2025-12-29,HBO Max,400
CLI-006164,2024-11-08,HBO Max,100
CLI-004916,2025-09-18,British Airways,400
CLI-005085,2025-08-01,HBO Max,600
CLI-001991,2025-11-16,Woolworths,150
CLI-002844,2025-10-23,Takealot,50
CLI-005947,2024-11-23,Woolworths,250
